age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,two_year_recid
69,F,Other,Greater than 45,Low,Male,0,-1.0,1,0,0
34,F,African-American,25 - 45,Low,Male,0,-1.0,3,1,1
24,F,African-American,Less than 25,Low,Male,4,-1.0,4,1,1
44,M,Other,25 - 45,Low,Male,0,0.0,1,0,0
41,F,Caucasian,25 - 45,Medium,Male,14,-1.0,6,1,1
43,F,Other,25 - 45,Low,Male,3,-1.0,4,0,0
39,M,Caucasian,25 - 45,Low,Female,0,-1.0,1,0,0
27,F,Caucasian,25 - 45,Low,Male,0,-1.0,4,0,0
23,M,African-American,Less than 25,Medium,Male,3,0.0,6,1,1
37,M,Caucasian,25 - 45,Low,Female,0,0.0,1,0,0
41,F,African-American,25 - 45,Low,Male,0,-1.0,4,0,0
47,F,Caucasian,Greater than 45,Low,Female,1,-20.0,1,1,1
31,F,African-American,25 - 45,Low,Male,7,22.0,3,1,1
37,M,Hispanic,25 - 45,Low,Male,0,0.0,1,0,0
25,F,African-American,25 - 45,High,Male,3,-1.0,10,0,0
31,F,Caucasian,25 - 45,Medium,Male,6,-1.0,5,1,1
31,F,Caucasian,25 - 45,Low,Male,5,-1.0,3,1,1
64,F,African-American,Greater than 45,Medium,Male,13,-1.0,6,1,1
21,F,African-American,Less than 25,High,Male,1,-1.0,9,1,1
27,M,Caucasian,25 - 45,Low,Male,0,0.0,2,1,1
21,F,Caucasian,Less than 25,Low,Female,0,-2.0,4,0,0
24,F,Hispanic,Less than 25,Low,Male,1,0.0,4,1,1
43,M,Caucasian,25 - 45,Low,Male,1,-1.0,1,0,0
32,M,Other,25 - 45,Low,Male,0,-1.0,3,0,0
27,F,African-American,25 - 45,Low,Male,8,-1.0,3,1,1
26,F,African-American,25 - 45,Medium,Male,5,-1.0,7,1,1
33,F,African-American,25 - 45,High,Male,0,0.0,10,1,1
30,F,Caucasian,25 - 45,High,Male,9,0.0,9,1,1
32,F,African-American,25 - 45,High,Male,4,-1.0,8,1,1
55,F,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,0
49,F,Other,Greater than 45,Low,Male,7,-1.0,3,1,1
33,M,Caucasian,25 - 45,Medium,Female,4,-1.0,5,1,1
24,M,Caucasian,Less than 25,Low,Male,1,0.0,2,1,1
34,F,African-American,25 - 45,High,Male,21,0.0,9,1,1
29,M,Caucasian,25 - 45,Low,Male,0,0.0,2,0,0
21,F,African-American,Less than 25,High,Female,2,-1.0,8,0,0
51,M,African-American,Greater than 45,Low,Male,2,-1.0,1,0,0
29,M,Caucasian,25 - 45,Low,Male,2,-1.0,2,1,1
51,F,African-American,Greater than 45,Low,Female,7,-1.0,2,0,0
29,F,African-American,25 - 45,Medium,Male,0,0.0,7,1,1
25,M,Caucasian,25 - 45,High,Male,9,-1.0,10,1,1
35,F,African-American,25 - 45,High,Male,13,-1.0,8,1,1
49,M,Caucasian,Greater than 45,Low,Male,0,0.0,1,0,0
29,F,African-American,25 - 45,Low,Male,0,0.0,4,0,0
29,F,Caucasian,25 - 45,Low,Male,1,-24.0,2,1,1
28,F,Other,25 - 45,Low,Female,0,-1.0,2,0,0
31,F,African-American,25 - 45,Medium,Male,15,-1.0,5,1,0
24,F,African-American,Less than 25,Low,Male,2,-1.0,4,1,1
30,M,Hispanic,25 - 45,Medium,Male,0,0.0,7,0,0
49,M,African-American,Greater than 45,Low,Male,4,-1.0,1,0,0
53,F,Caucasian,Greater than 45,Medium,Male,8,-13.0,5,0,0
35,F,African-American,25 - 45,Low,Male,5,-1.0,3,0,0
27,F,African-American,25 - 45,High,Male,15,-1.0,10,1,1
38,M,Caucasian,25 - 45,Low,Male,4,-1.0,2,1,1
22,F,African-American,Less than 25,Low,Male,1,-1.0,4,1,1
29,F,African-American,25 - 45,High,Male,4,-1.0,9,1,1
62,M,Hispanic,Greater than 45,Low,Male,0,0.0,1,0,0
27,F,African-American,25 - 45,Medium,Male,6,0.0,6,1,1
33,M,Other,25 - 45,Low,Male,0,-1.0,1,0,0
56,M,African-American,Greater than 45,Low,Female,0,0.0,1,0,0
45,F,Hispanic,Greater than 45,Low,Male,6,-1.0,1,1,1
22,F,Hispanic,Less than 25,Low,Male,1,-1.0,4,0,0
39,M,African-American,25 - 45,Low,Male,1,-1.0,4,0,0
29,F,African-American,25 - 45,Medium,Male,5,0.0,6,1,1
27,F,Caucasian,25 - 45,Medium,Male,1,-1.0,6,1,1
40,F,African-American,25 - 45,Low,Male,2,-15.0,2,0,0
22,M,African-American,Less than 25,Low,Male,1,0.0,3,1,1
22,F,Caucasian,Less than 25,High,Male,0,-1.0,8,0,0
26,F,African-American,25 - 45,Low,Female,1,-1.0,4,1,1
32,F,African-American,25 - 45,Low,Male,0,-1.0,2,0,0
41,M,African-American,25 - 45,Low,Male,1,-1.0,2,0,0
30,M,African-American,25 - 45,High,Male,8,-1.0,10,1,1
50,F,Other,Greater than 45,Low,Male,0,-1.0,1,1,1
25,F,African-American,25 - 45,High,Male,14,-1.0,10,1,1
20,F,Other,Less than 25,Medium,Male,0,-1.0,5,1,1
22,F,African-American,Less than 25,High,Male,2,0.0,9,1,1
35,M,African-American,25 - 45,Low,Female,1,-1.0,2,0,0
36,F,African-American,25 - 45,Medium,Male,9,0.0,7,1,1
26,F,Caucasian,25 - 45,High,Male,7,0.0,8,1,1
21,F,Other,Less than 25,Medium,Male,1,0.0,6,1,1
25,F,Caucasian,25 - 45,High,Male,9,-1.0,8,1,1
20,F,Caucasian,Less than 25,Medium,Female,0,-1.0,7,0,0
39,F,Caucasian,25 - 45,Low,Male,2,-2.0,1,1,1
54,M,Caucasian,Greater than 45,Low,Female,0,0.0,1,0,0
44,M,Hispanic,25 - 45,Low,Female,0,-2.0,1,0,0
19,M,African-American,Less than 25,Low,Male,1,-10.0,4,1,1
30,F,African-American,25 - 45,Low,Male,1,-1.0,2,0,0
39,F,Caucasian,25 - 45,Low,Female,0,-1.0,1,1,1
24,F,Caucasian,Less than 25,Medium,Male,8,-1.0,6,1,1
30,F,Caucasian,25 - 45,Low,Male,0,-1.0,4,0,0
31,M,Caucasian,25 - 45,Medium,Male,0,-1.0,5,0,0
39,F,Caucasian,25 - 45,Low,Female,1,-1.0,4,0,0
43,F,Caucasian,25 - 45,Low,Male,1,-30.0,1,0,0
21,F,African-American,Less than 25,High,Male,3,-1.0,9,1,1
38,M,Caucasian,25 - 45,Low,Male,5,-1.0,4,1,1
34,F,Caucasian,25 - 45,Medium,Male,0,0.0,5,0,0
33,F,African-American,25 - 45,Medium,Male,5,0.0,5,1,1
